the_geom,lon,objectid,service_request_id,status,status_notes,service_name,service_code,agency_responsible,the_geom_webmercator,requested_datetime,updated_datetime,expected_datetime,address,zipcode,media_url,lat,service_notice
0101000020E610000096E3FCEA7DC352C0CDBF86759D054440,-75.054560417,62,8997268,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00001A95A6DC36DF5FC1C543B4C41F965241,2015-01-31 08:45:22,2015-08-12 03:47:10,2015-02-09 19:00:00,7279 E ROOSEVELT BLVD,,,40.04386777,7 Business Days
0101000020E6100000097DFA1928C352C0EF803ED343054440,-75.049322599,63,8997265,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000FDDB1318A5DE5FC1593CB454BC955241,2015-01-31 08:45:07,2015-08-12 03:47:10,2015-02-09 19:00:00,7280 HAWTHORNE ST,,,40.041132364,7 Business Days
0101000020E610000060F8F33316C352C0FE746EA061054440,-75.048230162,64,8997266,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000CAD60BB186DE5FC1BCB83564DD955241,2015-01-31 08:45:12,2015-08-12 03:47:10,2015-02-09 19:00:00,3100 TEESDALE ST,,,40.042041833,7 Business Days
0101000020E6100000938601E803C352C0DE8022584D054440,-75.04711342,65,8997267,Closed,Information Provided,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000650EE49C67DE5FC1F1E613E4C6955241,2015-01-31 08:45:16,2015-08-12 03:47:12,2015-02-09 19:00:00,3126 TEESDALE ST,,,40.041422863,7 Business Days
0101000020E6100000DB15FA6019C252C049F3C7B436034440,-75.032799,66,8997269,Closed,Information Provided,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00004DEF8E3ED9DC5FC1576F9BDB75935241,2015-01-31 08:45:26,2015-08-12 03:47:18,2015-02-09 19:00:00,"7201-7257 Pennsylvania 73, Philadelphia, PA 19135, USA",,,40.025107,7 Business Days
0101000020E610000018080264E8C252C095F0845E7F024440,-75.045434,67,8997270,Closed,Referred to another organization,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000408DF3DF38DE5FC170016387AA925241,2015-01-31 08:45:29,2015-08-12 03:47:18,2015-02-09 19:00:00,"Interstate 95, Philadelphia, PA 19135, USA",,,40.019512,7 Business Days
0101000020E6100000A59F70766BCC52C04DF910548DF64340,-75.194059,68,8997271,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,0101000020110F0000FFA2F21661EE5FC12CF04E7A6D855241,2015-01-31 09:15:07,2015-08-12 03:47:18,,2801?2875 Vare Ave,,,39.926188,None
,,71,11348782,Closed,Question Answered,Information Request,SR-IR01,Register of Wills/ Orphans Court,,2017-05-31 16:30:43,2017-05-31 16:31:01,2017-05-31 17:00:12,,,,,
,,72,11348783,Closed,Information Provided,Directory Assistance,,Directory Assistance,,2017-05-31 16:30:50,2017-05-31 16:31:05,2017-05-31 17:00:12,,,,,
0101000020E61000007D98F71785CD52C0D76474DD67FA4340,-75.211248386,73,8967083,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00003456DA773FF05FC1DC4F534BB2895241,2015-01-11 17:45:22,2015-08-12 03:47:06,2015-01-19 19:00:00,4439 IONIC ST,19104,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2fbc56c553-369.jpg,39.956294709,7 Business Days
0101000020E6100000EC66674D43CF52C036779195A1FB4340,-75.238482811,2,8967058,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F00001CC20B6635F35FC1CF3B49E90D8B5241,2015-01-11 13:45:05,2015-08-12 03:47:02,2015-02-19 19:00:00,5915 SUMMER ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2bfb13abc9-369.jpg,39.965868655,30 Business Days
0101000020E61000009946B4991ACE52C0D77734C4E7F94340,-75.220373565,3,8967059,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000538BA56B3DF15FC153004C5E24895241,2015-01-11 14:15:07,2015-08-12 03:47:03,2015-01-19 19:00:00,413 S 49TH ST,19143,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2c4e62b4cb-369.jpg,39.952385453,7 Business Days
0101000020E61000004967A200F8CD52C0685BAC2CFAF94340,-75.218261875,4,8967064,Closed,Information Provided,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000BDB505A702F15FC1D5E54FC338895241,2015-01-11 14:45:21,2015-08-12 03:47:02,2015-01-19 19:00:00,309 S 48TH ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2cdc8961c7-369.jpg,39.952947219,7 Business Days
0101000020E61000004967A200F8CD52C0685BAC2CFAF94340,-75.218261875,5,8967063,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000BDB505A702F15FC1D5E54FC338895241,2015-01-11 14:45:17,2015-08-12 03:47:03,2015-01-19 19:00:00,309 S 48TH ST,19143,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2cdbdd95cf-369.jpg,39.952947219,7 Business Days
0101000020E61000004967A200F8CD52C0685BAC2CFAF94340,-75.218261875,6,8967060,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000BDB505A702F15FC1D5E54FC338895241,2015-01-11 14:45:06,2015-08-12 03:47:03,2015-01-19 19:00:00,309 S 48TH ST,19143,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2cd8f48069-369.jpg,39.952947219,7 Business Days
0101000020E61000004967A200F8CD52C0685BAC2CFAF94340,-75.218261875,7,8967061,Closed,Information Provided,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000BDB505A702F15FC1D5E54FC338895241,2015-01-11 14:45:10,2015-08-12 03:47:03,2015-01-19 19:00:00,309 S 48TH ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2cd9f831d4-369.jpg,39.952947219,7 Business Days
0101000020E6100000C0594A9693CB52C0516B9A779CF84340,-75.180883,42,8967050,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,0101000020110F0000178D3A67F2EC5FC1A3F27458B5875241,2015-01-11 12:15:14,2016-06-01 14:57:50,,817?835 S 23rd St,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2a8b90a669-369.jpg,39.942275,None
0101000020E61000005EE6A6930DCF52C0E662C21EC9FC4340,-75.235203662,43,8967051,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00004009EA23DAF25FC196CEC06C558C5241,2015-01-11 12:15:18,2015-08-12 03:47:02,2015-01-19 19:00:00,5700 MEDIA ST,19131,,39.974887697,7 Business Days
0101000020E610000096E3FCEA7DC352C0CDBF86759D054440,-75.054560417,45,8967054,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00001A95A6DC36DF5FC1C543B4C41F965241,2015-01-11 12:45:06,2015-08-12 03:47:02,2015-01-19 19:00:00,7279 E ROOSEVELT BLVD,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2b088101f6-369.jpg,40.04386777,7 Business Days
0101000020E61000002122D2C227C852C0FAFFC40A2FFE4340,-75.127426824,47,8967075,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000584B7CB922E75FC14AF6EE21E28D5241,2015-01-11 16:45:12,2015-08-12 03:47:11,2015-01-19 19:00:00,2510 EMERALD ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2ead3e9ad1-369.jpg,39.985810607,7 Business Days
0101000020E6100000FAC7CE1D75CD52C0228237C55F044440,-75.210273223,314,8997450,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F000003354E5424F05FC1D8D4D359BF945241,2015-02-01 19:45:20,2015-08-12 03:47:40,2015-03-12 20:00:00,626 PARK TER,,,40.034172683,30 Business Days
0101000020E6100000FC116D64EACD52C0CAD922060DFA4340,-75.217431167,48,8967082,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000506CBE88EBF05FC11F658FA54D895241,2015-01-11 17:45:18,2015-08-12 03:47:11,2015-01-19 19:00:00,4744 SPRUCE ST,19143,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2faf637565-369.jpg,39.953522457,7 Business Days
0101000020E6100000DA709A364AC652C008780C6E6FFE4340,-75.098279616,49,8967079,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F000078BDCA8FF7E35FC12CE22081298E5241,2015-01-11 17:45:06,2015-08-12 03:47:05,2015-02-19 19:00:00,3417 MERCER ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2f63adb3d5-369.jpg,39.987775571,30 Business Days
0101000020E61000004967A200F8CD52C0685BAC2CFAF94340,-75.218261875,9,8967062,Closed,Information Provided,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000BDB505A702F15FC1D5E54FC338895241,2015-01-11 14:45:14,2015-08-12 03:47:03,2015-01-19 19:00:00,309 S 48TH ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2cdaf8be73-369.jpg,39.952947219,7 Business Days
0101000020E61000004967A200F8CD52C0685BAC2CFAF94340,-75.218261875,10,8967065,Closed,Information Provided,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000BDB505A702F15FC1D5E54FC338895241,2015-01-11 14:45:25,2015-08-12 03:47:02,2015-01-19 19:00:00,309 S 48TH ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2cdd513c90-369.jpg,39.952947219,7 Business Days
0101000020E6100000E9D8BDEC89CF52C0E4CFBF7693FD4340,-75.242793262,11,8967066,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00002DCA9E5BADF35FC1208BFFAF358D5241,2015-01-11 14:45:29,2015-08-12 03:47:03,2015-01-19 19:00:00,W COLUMBIA AVE & N 61ST ST,19151,,39.981062743,7 Business Days
0101000020E61000002456D2CC4BC952C027ADF0157AFF4340,-75.145251467,13,8967070,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000615E44C812E95FC1653D181B518F5241,2015-01-11 15:45:06,2015-08-12 03:47:11,2015-01-19 19:00:00,827 W CAMBRIA ST,,,39.995913262,7 Business Days
0101000020E61000009E67E4DA6DC352C00D420E8443084440,-75.053580018,14,8967071,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F000030ACD7931BDF5FC16524AE1D10995241,2015-01-11 15:45:11,2015-08-12 03:47:11,2015-01-19 19:00:00,8200 CASTOR AVE,,,40.064560416,7 Business Days
0101000020E6100000E8BCC62E91CF52C0DB9C3169DFFD4340,-75.243236248,15,8967072,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F000013E2ADAFB9F35FC17985E4DD898D5241,2015-01-11 16:15:06,2015-08-12 03:47:10,2015-01-19 19:00:00,N 61ST ST & LANCASTER AVE,19151,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2e4354d8cd-369.jpg,39.983380464,7 Business Days
,,3472822,11818929,Closed,Question Answered,Information Request,SR-IR01,Department of Records,,2018-02-13 11:55:52,2018-02-13 12:03:26,2018-02-13 12:30:15,,,,,
,,17,11355575,Closed,Question Answered,Information Request,SR-IR01,Department of Public Health,,2017-06-05 12:10:51,2017-06-05 12:11:32,2017-06-05 12:30:14,,,,,
,,3472823,11818956,Closed,Question Answered,Information Request,SR-IR01,Prisons,,2018-02-13 12:03:23,2018-02-13 12:03:37,2018-02-13 12:30:15,,,,,
,,3472824,11818957,Closed,Question Answered,Information Request,SR-IR01,Behavioral Health and Intellectual Disability Services- DBHIDS,,2018-02-13 12:03:29,2018-02-13 12:03:41,2018-02-13 12:30:15,,,,,
0101000020E6100000AEB607C6E6CA52C0C4F9E5DD22094440,-75.170335297,3463546,11811251,Closed,,LI Escalation,,License & Inspections,0101000020110F0000D8DBB1DCCCEB5FC198FAFAFC079A5241,2018-02-07 14:59:02,2018-02-09 18:31:54,2018-02-09 19:00:39,8019 GILBERT ST,,,40.071376555,3 Business Days
,,3463547,11814729,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2018-02-09 18:33:46,2018-02-09 18:34:06,2018-02-09 19:00:39,,,,,
,,21,11355583,Closed,Question Answered,Information Request,SR-IR01,Sheriff's Department,,2017-06-05 12:11:32,2017-06-05 12:11:43,2017-06-05 12:30:14,,,,,
0101000020E61000009EB76FBD3FC352C0ABDA03E76B064440,-75.050765376,22,8967035,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000C67A163FCDDE5FC176096BCE04975241,2015-01-11 08:15:18,2015-08-12 03:46:59,2015-01-19 19:00:00,7621 E ROOSEVELT BLVD,,,40.050167919,7 Business Days
